Désignation,U,Qte,"Prix unitaire
€","Prix total
€",déjà réalisé,
Installation / remplacement de chaudière,U,5,5000," 25,000.00 € ",,
Installation réseau hydraulique,U,0,0, -   € ,,
Autre travaux de chauffage,U,0,0, -   € ,,
Synthèse des couts d'investissement de la solution de référence,,,,,,
Travaux d'isolation : (pour information non compris dans le total),,,,,,
Bâtiment 1,,,," 501,140.00 € ",0,
,,,Sous total," 501,140.00 € ",,
,,,Déjà réalisé:, -   € ,,
,,,Reste à réaliser," 501,140.00 € ",,
Travaux chaufferie,,,,,,
Installation / remplacement de chaudière,U,5,5000," 25,000.00 € ",,
Installation réseau hydraulique,U,0,0, -   € ,,
Autre travaux de chauffage,U,0,0, -   € ,,
,,,Sous total," 25,000.00 € ",,
TOTAL DES TRAVAUX DE LA SOLUTION DE REFERENCE ,,,," 526,140.00 € ",,
TOTAL DES TRAVAUX DE LA SOLUTION DE REFERENCE SANS ISOLATION,,,," 25,000.00 € ",,
Frais annexes sur travaux chaufferie,,,,,,
"Bureau de contrôle,SPS …",%,0%," 25,000.00 € ", -   € ,,
Maîtrise d'œuvre,%,13%," 25,000.00 € "," 3,250.00 € ",,
Frais divers de consultation,%,2%," 25,000.00 € ", 500.00 € ,,
Aléas de chantier,%,5%," 25,000.00 € "," 1,250.00 € ",,
TOTAL DES FRAIS ANEXES,,,," 5,000.00 € ",,
TOTAL DES INVESTISSEMENTS DE LA SOLUTION DE REFERENCE,,,," 30,000.00 € ",,
TVA,,,," 6,000.00 € ",,
TOTAL TTC,,,," 36,000.00 € ",,
